file_name,row,column,layer,ratio
R5.35.2015.jpeg,960,640,3,1.5
R7.24.2003.jpeg,1500,1000,3,1.5
R6.8.1998.jpeg,1500,1000,3,1.5
R8.22.2017.jpeg,1500,1000,3,1.5
R3.15.2017.jpeg,1000,692,3,1.445086705
R6.24.2017.jpeg,1500,1050,3,1.428571429
R6.5.2003.jpeg,1800,1200,3,1.5
R0.18.2009.jpeg,1124,795,3,1.413836478
R5.37.2009.jpeg,1500,1000,3,1.5
R0.45.2015.jpeg,800,600,3,1.333333333
R3.0.2011.jpeg,759,525,3,1.445714286
R6.6.1997.jpeg,1200,800,3,1.5
R7.3.2014.jpeg,3000,2000,3,1.5
R5.17.2004.jpeg,1200,800,3,1.5
R3.76.2017.jpeg,1000,698,3,1.432664756
R5.91.2015.jpeg,1000,667,3,1.499250375
R2.11.2004.jpeg,1500,1000,3,1.5
R2.5.1998.jpeg,1500,1000,3,1.5
R9.2.2006.jpeg,1500,1000,3,1.5
R5.9.2016.jpeg,1000,672,3,1.488095238
R8.10.2015.jpeg,1500,1000,3,1.5
R2.17.2017.jpeg,1500,1035,3,1.449275362
R6.16.2017.jpeg,1500,1100,3,1.363636364
R6.60.2017.jpeg,3000,2000,3,1.5
R4.110.2016.jpeg,1500,1000,3,1.5
R0.12.2002.jpeg,1500,1000,3,1.5
R9.7.1998.jpeg,1000,667,3,1.499250375
R5.23.2017.jpeg,2400,1600,3,1.5
R4.58.2017.jpeg,1874,1265,3,1.481422925
R9.96.2015.jpeg,1676,1200,3,1.396666667
R7.9.2015.jpeg,1500,1050,3,1.428571429
R5.27.2015.jpeg,1500,1016,3,1.476377953
R1.11.2006.jpeg,1500,1012,3,1.482213439
R5.27.2017.jpeg,1920,1200,3,1.6
R8.13.2008.jpeg,1500,1000,3,1.5
R6.10.2005.jpeg,3000,2000,3,1.5
R9.3.2010.jpeg,1500,1000,3,1.5
R8.3.2002.jpeg,1500,1000,3,1.5
R7.3.2004.jpeg,1200,800,3,1.5
R9.40.2017.jpeg,1500,1000,3,1.5
R4.25.2007.jpeg,1500,1000,3,1.5
R7.54.2016.jpeg,3000,2000,3,1.5
R7.20.2004.jpeg,1200,800,3,1.5
R6.13.2005.jpeg,1500,1000,3,1.5
R6.12.2001.jpeg,1482,1000,3,1.482
R0.17.1999.jpeg,1500,1000,3,1.5
R3.19.2016.jpeg,2000,1350,3,1.481481481
R4.59.2016.jpeg,1050,700,3,1.5
R7.7.2015.jpeg,2100,1400,3,1.5
R8.18.2017.jpeg,2667,1778,3,1.5
R4.10.2015.jpeg,3000,2000,3,1.5
R8.19.2003.jpeg,1500,1000,3,1.5
R0.90.2015.jpeg,1500,1000,3,1.5
R0.22.2011.jpeg,2100,1400,3,1.5
R0.3.1999.jpeg,950,652,3,1.457055215
R2.6.2007.jpeg,750,530,3,1.41509434
R8.2.2013.jpeg,2100,1400,3,1.5
R4.79.2015.jpeg,900,599,3,1.502504174
R7.49.2017.jpeg,3000,2000,3,1.5
R3.7.2001.jpeg,1809,1197,3,1.511278195
R0.126.2016.jpeg,1500,1000,3,1.5
R4.18.2008.jpeg,1500,1000,3,1.5
R0.28.2006.jpeg,1500,1000,3,1.5
R7.0.2003.jpeg,1500,1000,3,1.5
R9.9.2017.jpeg,1500,1000,3,1.5
R6.20.2009.jpeg,1500,1000,3,1.5
R1.74.2015.jpeg,1500,1000,3,1.5
R2.2.2005.jpeg,750,500,3,1.5
R9.5.2003.jpeg,1500,1000,3,1.5
R5.66.2017.jpeg,1500,1000,3,1.5
R2.9.2014.jpeg,2100,1400,3,1.5
R8.14.2000.jpeg,1392,928,3,1.5
R4.55.2017.jpeg,1372,960,3,1.429166667
R2.11.1999.jpeg,3000,2000,3,1.5
R8.4.2016.jpeg,1500,1071,3,1.400560224
R5.54.2015.jpeg,960,648,3,1.481481481
R4.35.2015.jpeg,1500,1000,3,1.5
R8.14.1999.jpeg,760,534,3,1.423220974
R1.118.2016.jpeg,1024,724,3,1.414364641
R5.9.2002.jpeg,900,664,3,1.355421687
R8.14.2011.jpeg,2100,1400,3,1.5
R4.33.2004.jpeg,750,500,3,1.5
R2.46.2009.jpeg,1500,1000,3,1.5
R6.35.2009.jpeg,1500,1000,3,1.5
R7.12.2000.jpeg,1133,756,3,1.498677249
R6.52.2016.jpeg,1080,756,3,1.428571429
R9.10.2002.jpeg,1500,1000,3,1.5
R0.33.2008.jpeg,1500,1000,3,1.5
R9.11.1999.jpeg,2100,1400,3,1.5
R8.5.2008.jpeg,1500,1000,3,1.5
